2023-11-08 10:27:20,840 INFO    StreamThr :1534294 [internal.py:wandb_internal():86] W&B internal server running at pid: 1534294, started at: 2023-11-08 10:27:20.839702
2023-11-08 10:27:20,840 DEBUG   HandlerThread:1534294 [handler.py:handle_request():146] handle_request: status
2023-11-08 10:27:20,841 INFO    WriterThread:1534294 [datastore.py:open_for_write():85] open: /home/jonghae/ai_crew_project/MADDPG/wandb/run-20231108_102720-u8e17y42/run-u8e17y42.wandb
2023-11-08 10:27:20,842 DEBUG   SenderThread:1534294 [sender.py:send():380] send: header
2023-11-08 10:27:20,852 DEBUG   SenderThread:1534294 [sender.py:send():380] send: run
2023-11-08 10:27:21,312 INFO    SenderThread:1534294 [dir_watcher.py:__init__():211] watching files in: /home/jonghae/ai_crew_project/MADDPG/wandb/run-20231108_102720-u8e17y42/files
2023-11-08 10:27:21,312 INFO    SenderThread:1534294 [sender.py:_start_run_threads():1124] run started: u8e17y42 with start time 1699406840.839595
2023-11-08 10:27:21,317 DEBUG   HandlerThread:1534294 [handler.py:handle_request():146] handle_request: check_version
2023-11-08 10:27:21,317 DEBUG   SenderThread:1534294 [sender.py:send_request():407] send_request: check_version
2023-11-08 10:27:21,364 DEBUG   HandlerThread:1534294 [handler.py:handle_request():146] handle_request: run_start
2023-11-08 10:27:21,368 DEBUG   HandlerThread:1534294 [system_info.py:__init__():32] System info init
2023-11-08 10:27:21,368 DEBUG   HandlerThread:1534294 [system_info.py:__init__():47] System info init done
2023-11-08 10:27:21,368 INFO    HandlerThread:1534294 [system_monitor.py:start():194] Starting system monitor
2023-11-08 10:27:21,368 INFO    SystemMonitor:1534294 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-11-08 10:27:21,368 INFO    HandlerThread:1534294 [system_monitor.py:probe():214] Collecting system info
2023-11-08 10:27:21,368 INFO    SystemMonitor:1534294 [interfaces.py:start():190] Started cpu monitoring
2023-11-08 10:27:21,369 INFO    SystemMonitor:1534294 [interfaces.py:start():190] Started disk monitoring
2023-11-08 10:27:21,370 INFO    SystemMonitor:1534294 [interfaces.py:start():190] Started gpu monitoring
2023-11-08 10:27:21,370 INFO    SystemMonitor:1534294 [interfaces.py:start():190] Started memory monitoring
2023-11-08 10:27:21,370 INFO    SystemMonitor:1534294 [interfaces.py:start():190] Started network monitoring
2023-11-08 10:27:21,379 DEBUG   HandlerThread:1534294 [system_info.py:probe():196] Probing system
2023-11-08 10:27:21,383 DEBUG   HandlerThread:1534294 [system_info.py:_probe_git():181] Probing git
2023-11-08 10:27:21,389 DEBUG   HandlerThread:1534294 [system_info.py:_probe_git():189] Probing git done
2023-11-08 10:27:21,389 DEBUG   HandlerThread:1534294 [system_info.py:probe():244] Probing system done
